"flow size", "SRTF utility coeff", "Market utility coeff"
1, 1.0438247012, 3.85446215139
2, 1.06472081218, 4.03312182741
3, 1.10478199719, 3.86042897328
4, 1.11963519313, 4.09795600858
5, 1.14403292181, 3.9002345679
6, 1.20207439199, 4.03227467811
7, 1.24125666864, 3.87345583877
8, 1.29184100418, 3.9192834728
9, 1.34744990893, 3.89593123862
10, 1.39625984252, 3.68848031496
11, 1.5133580705, 3.66814656772
12, 1.59567901235, 3.79748628258
13, 1.72135333546, 3.83861155442
14, 1.76240079365, 3.74412037037
15, 1.95131396957, 3.73442323651
16, 2.05372340426, 3.51157845745
17, 2.17090017825, 3.4531495098
18, 2.27211328976, 3.55929520697
19, 2.30835240275, 3.48692791762
20, 2.43876518219, 3.48730870445
21, 2.57682291667, 3.51008835565
22, 2.63909090909, 3.60473719008
23, 2.81546822742, 3.60664966555
24, 2.94660894661, 3.20485750361
25, 3.08341463415, 3.31951300813
26, 3.16977295832, 3.16067688919
27, 3.34229147847, 3.12376392653
28, 3.38893005335, 3.19039270895
29, 3.45544705523, 3.14328043943
30, 3.53474358974, 3.310025
31, 3.73003072197, 3.14447644649
32, 3.85975765306, 2.97276594388
33, 3.89847132035, 2.97496279762
34, 3.9325772682, 3.02344528913
35, 4.02272167488, 3.03257019704
36, 4.0726744186, 2.8708255814
37, 4.25080872378, 2.69497599917
38, 4.34848824188, 2.79881802912
39, 4.46568466994, 2.64272722313
40, 4.48988095238, 2.68032559524
